q1_satisfaction,q2_recommend,q3_usage_frequency,q4_preferred_channel,q5_support_rating,q6_product_quality,q7_price_satisfaction,q8_return_likelihood,q9_user_experience,q10_additional_comments
Neutral,Yes,Never,Email,2.0,,Cheap,Very unlikely,Smooth,Send believe some stay budget off threat.
Very dissatisfied,Maybe,Daily,Phone,3.0,Excellent,Cheap,Unlikely,Frustrating,Ground modern research gas consumer class.
Very satisfied,No,Daily,Email,4.0,Good,Cheap,Very likely,Easy,
Very satisfied,No,Never,Phone,5.0,Poor,Reasonable,,Confusing,Husband his condition few.
Dissatisfied,Maybe,Never,Phone,5.0,Poor,Cheap,Unlikely,Confusing,Figure way window charge theory.
Very satisfied,Maybe,Daily,Online chat,4.0,Good,Cheap,Very unlikely,,Effort read stay mean program onto.
Neutral,Yes,Monthly,Phone,1.0,Good,Too High,Very unlikely,Frustrating,Send believe some stay budget off threat.
Neutral,Yes,Never,Online chat,3.0,Poor,Reasonable,Unlikely,Smooth,Cut learn read should against under.
Dissatisfied,Yes,,In-person,4.0,Excellent,Reasonable,Likely,Smooth,
Very satisfied,Yes,Daily,Online chat,4.0,Good,Too High,Very unlikely,Frustrating,Education deep region mission lead see though.
Neutral,No,Never,In-person,,Excellent,Cheap,Likely,Easy,Figure middle rate likely old.
Neutral,Maybe,Monthly,Phone,,Average,Too High,,Smooth,Ground modern research gas consumer class.
Very satisfied,No,,In-person,3.0,Good,Cheap,Unlikely,,Others it never media successful special ago.
Satisfied,Maybe,,Online chat,5.0,Good,Cheap,Very unlikely,Easy,Threat model third end sport back series.
Very satisfied,Yes,Never,In-person,1.0,,Reasonable,Very likely,Confusing,Analysis relate rich of century still either.
Very dissatisfied,,Daily,In-person,5.0,Good,Too High,Likely,Easy,Figure way window charge theory.
,No,Daily,Phone,3.0,Excellent,Reasonable,Unlikely,Smooth,Others it never media successful special ago.
Neutral,Yes,Never,,5.0,Poor,Cheap,Unlikely,Confusing,Figure middle rate likely old.
,Maybe,Daily,In-person,4.0,Excellent,Too High,Unlikely,Frustrating,Not answer head contain.
Very satisfied,,Weekly,In-person,3.0,Excellent,Too High,Very unlikely,Confusing,Send believe some stay budget off threat.
Very satisfied,No,Monthly,Online chat,5.0,Good,Cheap,Likely,Easy,Someone card career seat Republican feeling least.
Neutral,No,Weekly,In-person,,Good,Reasonable,Very unlikely,Smooth,Send believe some stay budget off threat.
Very satisfied,No,Weekly,Online chat,4.0,Excellent,Cheap,Likely,Confusing,Consider able decide discover item culture society.
Very satisfied,Yes,Never,,1.0,,Reasonable,Unlikely,Frustrating,Consider able decide discover item culture society.
Satisfied,No,Daily,Online chat,1.0,Poor,Cheap,Very likely,Confusing,Someone card career seat Republican feeling least.
,Maybe,Never,Email,5.0,Good,Too High,Very likely,Smooth,
Satisfied,No,Daily,Email,5.0,,Too High,Very unlikely,,
,Maybe,Weekly,Online chat,1.0,Average,,Very likely,Smooth,Ground modern research gas consumer class.
Very dissatisfied,No,,Phone,2.0,Good,Cheap,Likely,Easy,
,Maybe,Never,Online chat,4.0,Average,Cheap,Unlikely,Confusing,Figure way window charge theory.
Neutral,No,,Phone,3.0,Good,Too High,Very likely,Confusing,Carry participant rule Democrat as run road same.
Neutral,Maybe,Rarely,Phone,4.0,Average,Cheap,,Confusing,Effort read stay mean program onto.
Neutral,No,Monthly,In-person,3.0,Poor,Cheap,Unlikely,Frustrating,Not answer head contain.
Neutral,Yes,Never,Phone,1.0,Excellent,Too High,Likely,Smooth,Figure middle rate likely old.
Very satisfied,No,Monthly,Email,5.0,Poor,,Likely,Frustrating,Laugh today seem north will baby.
Dissatisfied,No,Daily,In-person,2.0,Average,Cheap,Very likely,Frustrating,Education deep region mission lead see though.
Satisfied,No,Daily,In-person,,Poor,Cheap,,Confusing,City through tax score.
,Yes,Rarely,Phone,5.0,Good,Cheap,Unlikely,Frustrating,Ability rest customer professional.
,Maybe,Rarely,Email,2.0,Poor,,Very unlikely,Frustrating,Someone card career seat Republican feeling least.
Very satisfied,Yes,Never,Email,3.0,Excellent,Reasonable,Unlikely,Smooth,Section entire challenge sort.
Very satisfied,Maybe,Rarely,Email,1.0,Good,Reasonable,,Easy,
Very satisfied,Maybe,Daily,,4.0,Good,Reasonable,,Smooth,
Very dissatisfied,Yes,,In-person,5.0,Good,,Very likely,Frustrating,City through tax score.
Very satisfied,No,Monthly,Phone,5.0,Excellent,,Unlikely,Easy,Others it never media successful special ago.
Very satisfied,No,Daily,In-person,2.0,,Too High,Likely,,Husband his condition few.
,Maybe,Never,In-person,,Poor,Reasonable,,Easy,
Satisfied,Maybe,Rarely,In-person,,Poor,Too High,Likely,Confusing,Figure middle rate likely old.
Neutral,No,Monthly,,3.0,,Reasonable,Unlikely,Frustrating,Effort read stay mean program onto.
Very satisfied,No,Monthly,Online chat,5.0,Excellent,Too High,Likely,Confusing,Consider able decide discover item culture society.
Very satisfied,No,Never,In-person,1.0,Excellent,Cheap,Unlikely,Confusing,Carry participant rule Democrat as run road same.
Dissatisfied,,Daily,In-person,4.0,Excellent,Cheap,Unlikely,Frustrating,City through tax score.
,No,Weekly,In-person,1.0,Poor,,Very likely,Smooth,Send believe some stay budget off threat.
,No,Weekly,Phone,5.0,Excellent,Too High,Very likely,Smooth,Laugh today seem north will baby.
,No,Rarely,Online chat,3.0,Good,Too High,Likely,Smooth,
Neutral,Maybe,Rarely,Phone,5.0,Poor,Too High,,Confusing,Education deep region mission lead see though.
Dissatisfied,,Never,Online chat,4.0,Poor,Too High,Unlikely,Easy,Not answer head contain.
Very satisfied,Maybe,Weekly,In-person,2.0,Average,Cheap,Likely,Frustrating,Phone receive by ball.
Satisfied,Yes,Monthly,Email,5.0,Poor,Too High,Likely,Confusing,Others it never media successful special ago.
Neutral,No,Monthly,Phone,1.0,Good,Reasonable,Very likely,Easy,Ability rest customer professional.
Very satisfied,Yes,Daily,In-person,4.0,Excellent,Cheap,Very unlikely,Easy,Not answer head contain.
Neutral,Maybe,Monthly,Online chat,2.0,Poor,Cheap,Likely,Frustrating,
,Yes,Daily,Email,1.0,Poor,Too High,Unlikely,Easy,Others it never media successful special ago.
Very satisfied,Yes,Rarely,,5.0,Average,Reasonable,Very unlikely,,
Neutral,No,Monthly,Phone,2.0,Good,Too High,,Easy,Effort read stay mean program onto.
Neutral,Maybe,Rarely,Online chat,5.0,Excellent,Too High,Very likely,,Consider able decide discover item culture society.
Very satisfied,Maybe,Daily,Phone,3.0,Excellent,Cheap,,Confusing,Cut learn read should against under.
Very dissatisfied,Maybe,Weekly,Email,3.0,Average,Cheap,Likely,Frustrating,Send believe some stay budget off threat.
Very satisfied,No,Rarely,Online chat,1.0,Good,Reasonable,Likely,Confusing,Analysis relate rich of century still either.
Dissatisfied,,,In-person,4.0,,Reasonable,Unlikely,Confusing,
Satisfied,Yes,Monthly,Email,1.0,Poor,Cheap,Unlikely,Smooth,
,No,Daily,In-person,5.0,Average,Cheap,Very likely,Frustrating,Education deep region mission lead see though.
Neutral,Maybe,Never,Online chat,1.0,Excellent,Too High,Very unlikely,Smooth,
Dissatisfied,No,Daily,Phone,1.0,Good,Too High,Unlikely,Frustrating,Ground modern research gas consumer class.
Very dissatisfied,Yes,Never,In-person,5.0,Poor,Too High,Unlikely,,Figure way window charge theory.
Satisfied,Maybe,Weekly,Email,1.0,Poor,Cheap,Very unlikely,Confusing,
Satisfied,Yes,Rarely,Phone,2.0,Average,Reasonable,Unlikely,Frustrating,Ground modern research gas consumer class.
Very satisfied,Yes,Monthly,Online chat,4.0,,Too High,Very unlikely,Smooth,City through tax score.
Dissatisfied,Maybe,Weekly,Online chat,1.0,Good,Too High,Very likely,Frustrating,Others it never media successful special ago.
,Yes,Weekly,Phone,5.0,Excellent,Too High,Unlikely,Smooth,Threat model third end sport back series.
Dissatisfied,No,Monthly,Email,1.0,,Too High,Very likely,Smooth,Send believe some stay budget off threat.
Dissatisfied,Yes,Never,In-person,4.0,Good,Reasonable,Very unlikely,Frustrating,Phone receive by ball.
Very satisfied,,Never,Phone,,Average,Reasonable,Unlikely,Easy,Not answer head contain.
Very dissatisfied,Yes,Weekly,Phone,4.0,Excellent,Cheap,Unlikely,,City through tax score.
Very satisfied,,Never,Phone,5.0,Good,Cheap,Likely,Smooth,
Satisfied,Maybe,Weekly,Online chat,5.0,,Reasonable,Very likely,Smooth,Threat model third end sport back series.
,Maybe,Daily,Email,,Excellent,Reasonable,Likely,Easy,Phone receive by ball.
Satisfied,No,Daily,Phone,3.0,Average,Reasonable,Very likely,Smooth,Carry participant rule Democrat as run road same.
Satisfied,Maybe,Daily,In-person,1.0,Good,Reasonable,Likely,Frustrating,Ability rest customer professional.
Very satisfied,Yes,Daily,Phone,1.0,Excellent,Too High,,,Laugh today seem north will baby.
Very satisfied,,Rarely,In-person,3.0,Average,Too High,,,
Very satisfied,No,Never,Online chat,2.0,,Too High,Unlikely,,Consider able decide discover item culture society.
Very satisfied,Yes,Weekly,Email,,Good,Cheap,Very likely,Easy,City through tax score.
Satisfied,Maybe,Weekly,Online chat,3.0,Excellent,Reasonable,Very unlikely,Frustrating,
Dissatisfied,Yes,Monthly,Online chat,4.0,Poor,Too High,Unlikely,Confusing,Not answer head contain.
Very satisfied,Maybe,Never,Online chat,,Good,Too High,Likely,Confusing,Carry participant rule Democrat as run road same.
,No,Monthly,Phone,1.0,Poor,Cheap,Very unlikely,Easy,Carry participant rule Democrat as run road same.
Very satisfied,No,Rarely,Email,2.0,Average,Too High,Very likely,Confusing,Not answer head contain.
Neutral,Yes,Daily,Online chat,4.0,Average,Too High,Very likely,Smooth,Effort read stay mean program onto.
,Yes,Daily,Phone,1.0,Average,Too High,Very likely,Smooth,Figure middle rate likely old.
Satisfied,,Never,In-person,3.0,Excellent,Reasonable,Very unlikely,Confusing,Analysis relate rich of century still either.
Dissatisfied,Yes,Weekly,Phone,5.0,Poor,Reasonable,Very unlikely,,Cut learn read should against under.
Very satisfied,No,Rarely,,4.0,Excellent,Reasonable,Very likely,Confusing,Others it never media successful special ago.
Very dissatisfied,,Never,Email,5.0,Poor,,,Frustrating,Figure middle rate likely old.
Dissatisfied,Maybe,,Email,,Poor,Too High,Unlikely,Easy,Ground modern research gas consumer class.
Dissatisfied,No,Never,Phone,5.0,Excellent,Cheap,Very likely,Confusing,Effort read stay mean program onto.
Satisfied,No,Never,,1.0,Poor,Too High,Very likely,Frustrating,Ability rest customer professional.
Very satisfied,No,Rarely,Online chat,3.0,Poor,Cheap,Unlikely,Easy,City through tax score.
Very satisfied,Maybe,Never,Online chat,1.0,Average,Too High,Very likely,Frustrating,Consider able decide discover item culture society.
Neutral,No,Never,In-person,5.0,Poor,,Very unlikely,,Carry participant rule Democrat as run road same.
Very dissatisfied,Maybe,Rarely,Phone,1.0,Excellent,Too High,,Confusing,
Neutral,No,Weekly,Phone,4.0,Good,,Likely,Frustrating,
Very dissatisfied,Maybe,,Phone,1.0,Poor,Reasonable,Very unlikely,Easy,Laugh today seem north will baby.
Neutral,,Weekly,In-person,1.0,Average,Too High,Likely,Smooth,Husband his condition few.
Neutral,Yes,Weekly,Email,4.0,,Reasonable,,Confusing,Carry participant rule Democrat as run road same.
Dissatisfied,Maybe,Weekly,,4.0,Average,Too High,Very unlikely,Frustrating,Laugh today seem north will baby.
Very dissatisfied,No,Rarely,Online chat,,,Cheap,Likely,Smooth,Section entire challenge sort.
Very dissatisfied,Yes,Monthly,Phone,3.0,Average,Too High,Very unlikely,Confusing,Section entire challenge sort.
,Yes,Daily,,3.0,Average,Too High,Unlikely,,Ground modern research gas consumer class.
Dissatisfied,,Weekly,Email,3.0,Poor,Reasonable,Very unlikely,Easy,Analysis relate rich of century still either.
Dissatisfied,Maybe,Never,,4.0,Average,Reasonable,Very unlikely,Smooth,Consider able decide discover item culture society.
Satisfied,No,Weekly,Email,2.0,Average,Too High,Very likely,Frustrating,Threat model third end sport back series.
Dissatisfied,Maybe,Weekly,Online chat,1.0,Average,Reasonable,Unlikely,Smooth,Cut learn read should against under.
Satisfied,No,Weekly,Email,1.0,Average,Cheap,Unlikely,Smooth,Effort read stay mean program onto.
Very satisfied,Maybe,Monthly,Email,2.0,Average,,Unlikely,Easy,Not answer head contain.
Satisfied,Maybe,Daily,Phone,,Good,Too High,Likely,Smooth,Others it never media successful special ago.
Very satisfied,No,Weekly,In-person,4.0,Average,Reasonable,Very likely,Smooth,Send believe some stay budget off threat.
Very dissatisfied,No,Rarely,Email,3.0,Good,Cheap,Unlikely,Easy,Husband his condition few.
Satisfied,No,Monthly,Online chat,3.0,Poor,Too High,Very unlikely,,Threat model third end sport back series.
Very dissatisfied,Yes,Monthly,Online chat,,Average,Too High,Unlikely,Easy,Carry participant rule Democrat as run road same.
Very dissatisfied,Yes,Monthly,Email,1.0,Poor,,Very likely,Frustrating,
Dissatisfied,Maybe,Weekly,In-person,5.0,Good,Cheap,Very unlikely,Smooth,
Neutral,Maybe,Never,Phone,1.0,Excellent,,Very unlikely,Smooth,Ability rest customer professional.
Dissatisfied,Yes,Never,Phone,5.0,,Reasonable,Likely,Frustrating,Husband his condition few.
Neutral,Maybe,Monthly,In-person,1.0,Poor,Cheap,Very likely,Confusing,Phone receive by ball.
Very satisfied,No,Daily,Phone,2.0,Average,Cheap,Very unlikely,Frustrating,Education deep region mission lead see though.
Neutral,Yes,Daily,In-person,1.0,Poor,Reasonable,Very likely,Frustrating,Section entire challenge sort.
Dissatisfied,Maybe,Monthly,Email,4.0,Average,Reasonable,Likely,Frustrating,Someone card career seat Republican feeling least.
Very satisfied,No,Daily,Phone,,Good,Cheap,Likely,Frustrating,Husband his condition few.
Very satisfied,No,Daily,Online chat,1.0,Average,Too High,Very likely,Frustrating,Figure way window charge theory.
Very dissatisfied,No,Daily,In-person,1.0,Poor,Reasonable,Likely,Confusing,Carry participant rule Democrat as run road same.
Satisfied,No,Monthly,Email,4.0,Poor,Cheap,Very likely,Frustrating,Phone receive by ball.
Neutral,Yes,Rarely,In-person,5.0,Excellent,Too High,Very unlikely,Easy,Threat model third end sport back series.
Satisfied,No,Rarely,Phone,1.0,Excellent,,Very likely,Easy,Consider able decide discover item culture society.
Satisfied,No,Rarely,,1.0,Excellent,Reasonable,Unlikely,Confusing,Figure way window charge theory.
Satisfied,Maybe,Daily,Online chat,2.0,Poor,Cheap,,Confusing,Ground modern research gas consumer class.
Satisfied,Yes,Daily,In-person,1.0,Excellent,Too High,Likely,Confusing,Send believe some stay budget off threat.
,Yes,Rarely,Email,4.0,Poor,Too High,Very likely,Confusing,
Neutral,Maybe,Never,Online chat,1.0,Good,Reasonable,Unlikely,Easy,Threat model third end sport back series.
Very dissatisfied,Yes,Weekly,In-person,3.0,Excellent,Too High,Likely,Confusing,Education deep region mission lead see though.
Dissatisfied,No,Rarely,In-person,,Average,Reasonable,Unlikely,Confusing,Send believe some stay budget off threat.
Neutral,Maybe,Monthly,Phone,4.0,Average,Reasonable,,Confusing,Ability rest customer professional.
Neutral,,Monthly,Email,2.0,Poor,Reasonable,Unlikely,Smooth,Consider able decide discover item culture society.
Satisfied,Yes,,Email,2.0,Good,,Unlikely,Frustrating,Phone receive by ball.
Satisfied,No,Rarely,Email,5.0,Poor,Reasonable,Unlikely,Smooth,Effort read stay mean program onto.
Neutral,Yes,Rarely,In-person,1.0,Average,Reasonable,Unlikely,Confusing,Husband his condition few.
Neutral,Maybe,Never,Phone,5.0,,Cheap,Very likely,Smooth,Laugh today seem north will baby.
Dissatisfied,Yes,Weekly,Online chat,5.0,Poor,Reasonable,Very likely,Easy,Education deep region mission lead see though.
Very dissatisfied,Yes,Weekly,Phone,3.0,Average,,Very unlikely,Smooth,Figure middle rate likely old.
Very dissatisfied,,Monthly,In-person,,Poor,Cheap,Very unlikely,Confusing,Consider able decide discover item culture society.
Dissatisfied,No,,Email,2.0,Average,Cheap,Unlikely,Frustrating,City through tax score.
Neutral,Maybe,Weekly,,4.0,Average,Too High,Very likely,Frustrating,Ground modern research gas consumer class.
,Maybe,Daily,Phone,1.0,Average,Reasonable,Likely,,Analysis relate rich of century still either.
Very dissatisfied,No,Rarely,Email,5.0,Poor,Reasonable,Very likely,Confusing,Cut learn read should against under.
,Maybe,Never,Phone,1.0,,Too High,,,Threat model third end sport back series.
Satisfied,Yes,Monthly,In-person,4.0,Poor,Too High,Very likely,Confusing,Ground modern research gas consumer class.
Satisfied,Maybe,Weekly,Email,4.0,Poor,Too High,Likely,Smooth,Education deep region mission lead see though.
Satisfied,Yes,Never,Online chat,5.0,Poor,Too High,Very unlikely,,Effort read stay mean program onto.
Satisfied,Yes,,In-person,3.0,Excellent,,Likely,Easy,Consider able decide discover item culture society.
Very satisfied,Maybe,,Phone,3.0,,Cheap,Likely,Frustrating,Someone card career seat Republican feeling least.
,Maybe,Daily,In-person,5.0,,Cheap,Very unlikely,Smooth,Send believe some stay budget off threat.
Very dissatisfied,Yes,Weekly,Online chat,5.0,Excellent,,Very unlikely,Frustrating,Ground modern research gas consumer class.
Very dissatisfied,Yes,,Online chat,2.0,Good,Reasonable,Very unlikely,Confusing,Education deep region mission lead see though.
Neutral,No,Never,In-person,1.0,Good,Too High,,Smooth,Carry participant rule Democrat as run road same.
